question_id,subject_id,difficulty,question,option1,option2,option3,option4,correct_option,explanation,topic,marks
OS_046,4,Beginner,[Beginner Q-046] Which state transition occurs when a running process is preempted by the scheduler?,Waiting to Ready,Ready to Terminated,Running to Ready,Running to Waiting,option3,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_047,4,Beginner,[Beginner Q-047] What is saved in the Process Control Block (PCB) during a context switch?,Raw source code files,Browser session variables,Hard drive cylinder maps,CPU Registers and Program Counter,option4,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_048,4,Beginner,[Beginner Q-048] What is the core objective of running the Banker's Algorithm in an OS layout?,To structure virtual memory pages.,To prevent deadlocks by ensuring a safe state flow.,To speed up background CPU operations.,To kill active deadlocked processes.,option2,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_049,4,Beginner,[Beginner Q-049] What occurs during system thrashing?,Memory allocations turn completely read-only.,The cache hit ratio reaches 100%.,The OS spends more time swapping pages than executing actual instructions.,The CPU hardware architecture fails.,option3,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_050,4,Beginner,"[Beginner Q-050] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",FAT Entry,Directory Record,Inode,Master Boot Record,option3,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_051,4,Beginner,[Beginner Q-051] Which state transition occurs when a running process is preempted by the scheduler?,Running to Waiting,Running to Ready,Waiting to Ready,Ready to Terminated,option2,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_052,4,Beginner,[Beginner Q-052] What is saved in the Process Control Block (PCB) during a context switch?,Browser session variables,CPU Registers and Program Counter,Hard drive cylinder maps,Raw source code files,option2,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_053,4,Beginner,[Beginner Q-053] What is the core objective of running the Banker's Algorithm in an OS layout?,To kill active deadlocked processes.,To speed up background CPU operations.,To structure virtual memory pages.,To prevent deadlocks by ensuring a safe state flow.,option4,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_054,4,Beginner,[Beginner Q-054] What occurs during system thrashing?,The cache hit ratio reaches 100%.,The OS spends more time swapping pages than executing actual instructions.,Memory allocations turn completely read-only.,The CPU hardware architecture fails.,option2,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_055,4,Beginner,"[Beginner Q-055] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",Inode,Directory Record,Master Boot Record,FAT Entry,option1,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_056,4,Beginner,[Beginner Q-056] Which state transition occurs when a running process is preempted by the scheduler?,Waiting to Ready,Running to Ready,Ready to Terminated,Running to Waiting,option2,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_057,4,Beginner,[Beginner Q-057] What is saved in the Process Control Block (PCB) during a context switch?,Browser session variables,Hard drive cylinder maps,Raw source code files,CPU Registers and Program Counter,option4,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_058,4,Beginner,[Beginner Q-058] What is the core objective of running the Banker's Algorithm in an OS layout?,To structure virtual memory pages.,To prevent deadlocks by ensuring a safe state flow.,To kill active deadlocked processes.,To speed up background CPU operations.,option2,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_059,4,Beginner,[Beginner Q-059] What occurs during system thrashing?,The OS spends more time swapping pages than executing actual instructions.,The CPU hardware architecture fails.,Memory allocations turn completely read-only.,The cache hit ratio reaches 100%.,option1,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_060,4,Beginner,"[Beginner Q-060] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",Directory Record,FAT Entry,Master Boot Record,Inode,option4,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_061,4,Beginner,[Beginner Q-061] Which state transition occurs when a running process is preempted by the scheduler?,Ready to Terminated,Waiting to Ready,Running to Ready,Running to Waiting,option3,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_062,4,Beginner,[Beginner Q-062] What is saved in the Process Control Block (PCB) during a context switch?,Hard drive cylinder maps,CPU Registers and Program Counter,Browser session variables,Raw source code files,option2,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_063,4,Beginner,[Beginner Q-063] What is the core objective of running the Banker's Algorithm in an OS layout?,To prevent deadlocks by ensuring a safe state flow.,To kill active deadlocked processes.,To structure virtual memory pages.,To speed up background CPU operations.,option1,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_064,4,Beginner,[Beginner Q-064] What occurs during system thrashing?,The CPU hardware architecture fails.,The cache hit ratio reaches 100%.,Memory allocations turn completely read-only.,The OS spends more time swapping pages than executing actual instructions.,option4,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_065,4,Beginner,"[Beginner Q-065] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",Inode,FAT Entry,Master Boot Record,Directory Record,option1,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_066,4,Beginner,[Beginner Q-066] Which state transition occurs when a running process is preempted by the scheduler?,Running to Waiting,Waiting to Ready,Ready to Terminated,Running to Ready,option4,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_067,4,Beginner,[Beginner Q-067] What is saved in the Process Control Block (PCB) during a context switch?,Browser session variables,Hard drive cylinder maps,Raw source code files,CPU Registers and Program Counter,option4,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_068,4,Beginner,[Beginner Q-068] What is the core objective of running the Banker's Algorithm in an OS layout?,To speed up background CPU operations.,To structure virtual memory pages.,To kill active deadlocked processes.,To prevent deadlocks by ensuring a safe state flow.,option4,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_069,4,Beginner,[Beginner Q-069] What occurs during system thrashing?,The cache hit ratio reaches 100%.,The CPU hardware architecture fails.,The OS spends more time swapping pages than executing actual instructions.,Memory allocations turn completely read-only.,option3,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_070,4,Beginner,"[Beginner Q-070] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",Inode,Directory Record,Master Boot Record,FAT Entry,option1,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_071,4,Beginner,[Beginner Q-071] Which state transition occurs when a running process is preempted by the scheduler?,Waiting to Ready,Ready to Terminated,Running to Waiting,Running to Ready,option4,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_072,4,Beginner,[Beginner Q-072] What is saved in the Process Control Block (PCB) during a context switch?,CPU Registers and Program Counter,Hard drive cylinder maps,Browser session variables,Raw source code files,option1,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_073,4,Beginner,[Beginner Q-073] What is the core objective of running the Banker's Algorithm in an OS layout?,To kill active deadlocked processes.,To speed up background CPU operations.,To prevent deadlocks by ensuring a safe state flow.,To structure virtual memory pages.,option3,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_074,4,Beginner,[Beginner Q-074] What occurs during system thrashing?,The cache hit ratio reaches 100%.,Memory allocations turn completely read-only.,The CPU hardware architecture fails.,The OS spends more time swapping pages than executing actual instructions.,option4,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_075,4,Beginner,"[Beginner Q-075] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",Master Boot Record,Directory Record,FAT Entry,Inode,option4,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_076,4,Beginner,[Beginner Q-076] Which state transition occurs when a running process is preempted by the scheduler?,Running to Waiting,Ready to Terminated,Running to Ready,Waiting to Ready,option3,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_077,4,Beginner,[Beginner Q-077] What is saved in the Process Control Block (PCB) during a context switch?,Raw source code files,CPU Registers and Program Counter,Hard drive cylinder maps,Browser session variables,option2,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_078,4,Beginner,[Beginner Q-078] What is the core objective of running the Banker's Algorithm in an OS layout?,To structure virtual memory pages.,To speed up background CPU operations.,To prevent deadlocks by ensuring a safe state flow.,To kill active deadlocked processes.,option3,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_079,4,Beginner,[Beginner Q-079] What occurs during system thrashing?,The CPU hardware architecture fails.,The cache hit ratio reaches 100%.,The OS spends more time swapping pages than executing actual instructions.,Memory allocations turn completely read-only.,option3,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_080,4,Beginner,"[Beginner Q-080] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",FAT Entry,Master Boot Record,Inode,Directory Record,option3,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_081,4,Intermediate,[Intermediate Q-081] Which state transition occurs when a running process is preempted by the scheduler?,Running to Waiting,Running to Ready,Waiting to Ready,Ready to Terminated,option2,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_082,4,Intermediate,[Intermediate Q-082] What is saved in the Process Control Block (PCB) during a context switch?,Browser session variables,Hard drive cylinder maps,Raw source code files,CPU Registers and Program Counter,option4,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_083,4,Intermediate,[Intermediate Q-083] What is the core objective of running the Banker's Algorithm in an OS layout?,To speed up background CPU operations.,To structure virtual memory pages.,To kill active deadlocked processes.,To prevent deadlocks by ensuring a safe state flow.,option4,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_084,4,Intermediate,[Intermediate Q-084] What occurs during system thrashing?,The OS spends more time swapping pages than executing actual instructions.,The cache hit ratio reaches 100%.,Memory allocations turn completely read-only.,The CPU hardware architecture fails.,option1,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_085,4,Intermediate,"[Intermediate Q-085] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",Master Boot Record,Inode,FAT Entry,Directory Record,option2,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_086,4,Intermediate,[Intermediate Q-086] Which state transition occurs when a running process is preempted by the scheduler?,Running to Ready,Waiting to Ready,Running to Waiting,Ready to Terminated,option1,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_087,4,Intermediate,[Intermediate Q-087] What is saved in the Process Control Block (PCB) during a context switch?,Hard drive cylinder maps,CPU Registers and Program Counter,Browser session variables,Raw source code files,option2,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_088,4,Intermediate,[Intermediate Q-088] What is the core objective of running the Banker's Algorithm in an OS layout?,To speed up background CPU operations.,To kill active deadlocked processes.,To structure virtual memory pages.,To prevent deadlocks by ensuring a safe state flow.,option4,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_089,4,Intermediate,[Intermediate Q-089] What occurs during system thrashing?,The OS spends more time swapping pages than executing actual instructions.,Memory allocations turn completely read-only.,The cache hit ratio reaches 100%.,The CPU hardware architecture fails.,option1,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_090,4,Intermediate,"[Intermediate Q-090] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",Master Boot Record,Inode,Directory Record,FAT Entry,option2,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_091,4,Intermediate,[Intermediate Q-091] Which state transition occurs when a running process is preempted by the scheduler?,Ready to Terminated,Waiting to Ready,Running to Ready,Running to Waiting,option3,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_092,4,Intermediate,[Intermediate Q-092] What is saved in the Process Control Block (PCB) during a context switch?,CPU Registers and Program Counter,Hard drive cylinder maps,Raw source code files,Browser session variables,option1,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_093,4,Intermediate,[Intermediate Q-093] What is the core objective of running the Banker's Algorithm in an OS layout?,To speed up background CPU operations.,To kill active deadlocked processes.,To prevent deadlocks by ensuring a safe state flow.,To structure virtual memory pages.,option3,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_094,4,Intermediate,[Intermediate Q-094] What occurs during system thrashing?,The OS spends more time swapping pages than executing actual instructions.,The cache hit ratio reaches 100%.,Memory allocations turn completely read-only.,The CPU hardware architecture fails.,option1,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_095,4,Intermediate,"[Intermediate Q-095] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",Directory Record,Inode,FAT Entry,Master Boot Record,option2,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_096,4,Intermediate,[Intermediate Q-096] Which state transition occurs when a running process is preempted by the scheduler?,Running to Ready,Running to Waiting,Ready to Terminated,Waiting to Ready,option1,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
