question_id,subject_id,difficulty,question,option1,option2,option3,option4,correct_option,explanation,topic,marks
DSA_011,2,Beginner,[Beginner Q-011] What is the worst-case time complexity of linear search on an array of size n?,O(log n),O(1),O(n log n),O(n),option4,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_012,2,Beginner,[Beginner Q-012] What is the key structural benefit of a Linked List over a static array?,Lower memory overhead per element.,O(1) continuous random access indexing.,Dynamic size allocation and efficient insertions.,Automatic sorting during insertion.,option3,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_013,2,Beginner,[Beginner Q-013] Which principal pattern does a standard stack structure strictly observe?,Random Access,"FIFO (First-In, First-Out)","LIFO (Last-In, First-Out)",Priority-based processing,option3,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_014,2,Beginner,[Beginner Q-014] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(n log n),O(n),O(1),O(log n),option4,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_015,2,Beginner,[Beginner Q-015] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Priority Queue,Stack,Queue,Min-Heap,option3,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_016,2,Beginner,[Beginner Q-016] What is the worst-case time complexity of linear search on an array of size n?,O(n),O(1),O(log n),O(n log n),option1,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_017,2,Beginner,[Beginner Q-017] What is the key structural benefit of a Linked List over a static array?,Automatic sorting during insertion.,O(1) continuous random access indexing.,Lower memory overhead per element.,Dynamic size allocation and efficient insertions.,option4,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_018,2,Beginner,[Beginner Q-018] Which principal pattern does a standard stack structure strictly observe?,Priority-based processing,Random Access,"LIFO (Last-In, First-Out)","FIFO (First-In, First-Out)",option3,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_019,2,Beginner,[Beginner Q-019] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(n),O(n log n),O(log n),O(1),option3,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_020,2,Beginner,[Beginner Q-020] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Min-Heap,Queue,Priority Queue,Stack,option2,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_021,2,Beginner,[Beginner Q-021] What is the worst-case time complexity of linear search on an array of size n?,O(n),O(log n),O(n log n),O(1),option1,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_022,2,Beginner,[Beginner Q-022] What is the key structural benefit of a Linked List over a static array?,Lower memory overhead per element.,Dynamic size allocation and efficient insertions.,Automatic sorting during insertion.,O(1) continuous random access indexing.,option2,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_023,2,Beginner,[Beginner Q-023] Which principal pattern does a standard stack structure strictly observe?,"LIFO (Last-In, First-Out)","FIFO (First-In, First-Out)",Priority-based processing,Random Access,option1,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_024,2,Beginner,[Beginner Q-024] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(log n),O(1),O(n log n),O(n),option1,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_025,2,Beginner,[Beginner Q-025] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Stack,Min-Heap,Queue,Priority Queue,option3,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_026,2,Beginner,[Beginner Q-026] What is the worst-case time complexity of linear search on an array of size n?,O(log n),O(n),O(n log n),O(1),option2,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_027,2,Beginner,[Beginner Q-027] What is the key structural benefit of a Linked List over a static array?,O(1) continuous random access indexing.,Dynamic size allocation and efficient insertions.,Automatic sorting during insertion.,Lower memory overhead per element.,option2,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_028,2,Beginner,[Beginner Q-028] Which principal pattern does a standard stack structure strictly observe?,"LIFO (Last-In, First-Out)","FIFO (First-In, First-Out)",Priority-based processing,Random Access,option1,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_029,2,Beginner,[Beginner Q-029] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(n log n),O(log n),O(1),O(n),option2,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_030,2,Beginner,[Beginner Q-030] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Stack,Min-Heap,Priority Queue,Queue,option4,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_031,2,Beginner,[Beginner Q-031] What is the worst-case time complexity of linear search on an array of size n?,O(1),O(log n),O(n log n),O(n),option4,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_032,2,Beginner,[Beginner Q-032] What is the key structural benefit of a Linked List over a static array?,Automatic sorting during insertion.,O(1) continuous random access indexing.,Dynamic size allocation and efficient insertions.,Lower memory overhead per element.,option3,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_033,2,Beginner,[Beginner Q-033] Which principal pattern does a standard stack structure strictly observe?,"LIFO (Last-In, First-Out)",Priority-based processing,Random Access,"FIFO (First-In, First-Out)",option1,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_034,2,Beginner,[Beginner Q-034] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(1),O(log n),O(n log n),O(n),option2,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_035,2,Beginner,[Beginner Q-035] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Queue,Priority Queue,Min-Heap,Stack,option1,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_036,2,Beginner,[Beginner Q-036] What is the worst-case time complexity of linear search on an array of size n?,O(log n),O(1),O(n log n),O(n),option4,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_037,2,Beginner,[Beginner Q-037] What is the key structural benefit of a Linked List over a static array?,Automatic sorting during insertion.,Dynamic size allocation and efficient insertions.,O(1) continuous random access indexing.,Lower memory overhead per element.,option2,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_038,2,Beginner,[Beginner Q-038] Which principal pattern does a standard stack structure strictly observe?,"FIFO (First-In, First-Out)","LIFO (Last-In, First-Out)",Priority-based processing,Random Access,option2,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_039,2,Beginner,[Beginner Q-039] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(1),O(n),O(log n),O(n log n),option3,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_040,2,Beginner,[Beginner Q-040] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Queue,Stack,Min-Heap,Priority Queue,option1,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_041,2,Beginner,[Beginner Q-041] What is the worst-case time complexity of linear search on an array of size n?,O(n),O(1),O(n log n),O(log n),option1,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_042,2,Beginner,[Beginner Q-042] What is the key structural benefit of a Linked List over a static array?,Dynamic size allocation and efficient insertions.,O(1) continuous random access indexing.,Automatic sorting during insertion.,Lower memory overhead per element.,option1,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_043,2,Beginner,[Beginner Q-043] Which principal pattern does a standard stack structure strictly observe?,Random Access,"LIFO (Last-In, First-Out)",Priority-based processing,"FIFO (First-In, First-Out)",option2,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_044,2,Beginner,[Beginner Q-044] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(n log n),O(1),O(n),O(log n),option4,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_045,2,Beginner,[Beginner Q-045] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Queue,Priority Queue,Stack,Min-Heap,option1,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_046,2,Beginner,[Beginner Q-046] What is the worst-case time complexity of linear search on an array of size n?,O(1),O(log n),O(n),O(n log n),option3,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_047,2,Beginner,[Beginner Q-047] What is the key structural benefit of a Linked List over a static array?,Automatic sorting during insertion.,Lower memory overhead per element.,Dynamic size allocation and efficient insertions.,O(1) continuous random access indexing.,option3,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_048,2,Beginner,[Beginner Q-048] Which principal pattern does a standard stack structure strictly observe?,Priority-based processing,Random Access,"LIFO (Last-In, First-Out)","FIFO (First-In, First-Out)",option3,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_049,2,Beginner,[Beginner Q-049] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(log n),O(n),O(n log n),O(1),option1,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_050,2,Beginner,[Beginner Q-050] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Priority Queue,Stack,Queue,Min-Heap,option3,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_051,2,Beginner,[Beginner Q-051] What is the worst-case time complexity of linear search on an array of size n?,O(log n),O(n),O(1),O(n log n),option2,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_052,2,Beginner,[Beginner Q-052] What is the key structural benefit of a Linked List over a static array?,Dynamic size allocation and efficient insertions.,Automatic sorting during insertion.,O(1) continuous random access indexing.,Lower memory overhead per element.,option1,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_053,2,Beginner,[Beginner Q-053] Which principal pattern does a standard stack structure strictly observe?,Priority-based processing,"FIFO (First-In, First-Out)",Random Access,"LIFO (Last-In, First-Out)",option4,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_054,2,Beginner,[Beginner Q-054] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(1),O(n),O(log n),O(n log n),option3,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_055,2,Beginner,[Beginner Q-055] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Queue,Stack,Min-Heap,Priority Queue,option1,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_056,2,Beginner,[Beginner Q-056] What is the worst-case time complexity of linear search on an array of size n?,O(n),O(1),O(log n),O(n log n),option1,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_057,2,Beginner,[Beginner Q-057] What is the key structural benefit of a Linked List over a static array?,Automatic sorting during insertion.,Dynamic size allocation and efficient insertions.,Lower memory overhead per element.,O(1) continuous random access indexing.,option2,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_058,2,Beginner,[Beginner Q-058] Which principal pattern does a standard stack structure strictly observe?,Random Access,"FIFO (First-In, First-Out)","LIFO (Last-In, First-Out)",Priority-based processing,option3,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_059,2,Beginner,[Beginner Q-059] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(log n),O(1),O(n log n),O(n),option1,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_060,2,Beginner,[Beginner Q-060] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Queue,Min-Heap,Priority Queue,Stack,option1,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_061,2,Beginner,[Beginner Q-061] What is the worst-case time complexity of linear search on an array of size n?,O(n),O(log n),O(n log n),O(1),option1,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_062,2,Beginner,[Beginner Q-062] What is the key structural benefit of a Linked List over a static array?,Lower memory overhead per element.,O(1) continuous random access indexing.,Dynamic size allocation and efficient insertions.,Automatic sorting during insertion.,option3,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_063,2,Beginner,[Beginner Q-063] Which principal pattern does a standard stack structure strictly observe?,Priority-based processing,"FIFO (First-In, First-Out)","LIFO (Last-In, First-Out)",Random Access,option3,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_064,2,Beginner,[Beginner Q-064] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(1),O(n log n),O(n),O(log n),option4,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_065,2,Beginner,[Beginner Q-065] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Min-Heap,Priority Queue,Queue,Stack,option3,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_066,2,Beginner,[Beginner Q-066] What is the worst-case time complexity of linear search on an array of size n?,O(1),O(n log n),O(log n),O(n),option4,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_067,2,Beginner,[Beginner Q-067] What is the key structural benefit of a Linked List over a static array?,O(1) continuous random access indexing.,Automatic sorting during insertion.,Dynamic size allocation and efficient insertions.,Lower memory overhead per element.,option3,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_068,2,Beginner,[Beginner Q-068] Which principal pattern does a standard stack structure strictly observe?,"LIFO (Last-In, First-Out)",Priority-based processing,Random Access,"FIFO (First-In, First-Out)",option1,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_069,2,Beginner,[Beginner Q-069] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(n log n),O(n),O(1),O(log n),option4,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_070,2,Beginner,[Beginner Q-070] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Stack,Priority Queue,Queue,Min-Heap,option3,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_071,2,Beginner,[Beginner Q-071] What is the worst-case time complexity of linear search on an array of size n?,O(n log n),O(log n),O(n),O(1),option3,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_072,2,Beginner,[Beginner Q-072] What is the key structural benefit of a Linked List over a static array?,Lower memory overhead per element.,O(1) continuous random access indexing.,Automatic sorting during insertion.,Dynamic size allocation and efficient insertions.,option4,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_073,2,Beginner,[Beginner Q-073] Which principal pattern does a standard stack structure strictly observe?,Priority-based processing,Random Access,"LIFO (Last-In, First-Out)","FIFO (First-In, First-Out)",option3,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_074,2,Beginner,[Beginner Q-074] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(n log n),O(log n),O(1),O(n),option2,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_075,2,Beginner,[Beginner Q-075] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Stack,Priority Queue,Min-Heap,Queue,option4,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_076,2,Beginner,[Beginner Q-076] What is the worst-case time complexity of linear search on an array of size n?,O(log n),O(n),O(n log n),O(1),option2,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_077,2,Beginner,[Beginner Q-077] What is the key structural benefit of a Linked List over a static array?,Lower memory overhead per element.,Automatic sorting during insertion.,Dynamic size allocation and efficient insertions.,O(1) continuous random access indexing.,option3,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_078,2,Beginner,[Beginner Q-078] Which principal pattern does a standard stack structure strictly observe?,Priority-based processing,"LIFO (Last-In, First-Out)","FIFO (First-In, First-Out)",Random Access,option2,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_079,2,Beginner,[Beginner Q-079] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(n),O(1),O(n log n),O(log n),option4,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_080,2,Beginner,[Beginner Q-080] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Priority Queue,Min-Heap,Stack,Queue,option4,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_081,2,Intermediate,[Intermediate Q-081] What is the worst-case time complexity of linear search on an array of size n?,O(log n),O(n),O(n log n),O(1),option2,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_082,2,Intermediate,[Intermediate Q-082] What is the key structural benefit of a Linked List over a static array?,Dynamic size allocation and efficient insertions.,Automatic sorting during insertion.,O(1) continuous random access indexing.,Lower memory overhead per element.,option1,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_083,2,Intermediate,[Intermediate Q-083] Which principal pattern does a standard stack structure strictly observe?,Random Access,"FIFO (First-In, First-Out)","LIFO (Last-In, First-Out)",Priority-based processing,option3,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_084,2,Intermediate,[Intermediate Q-084] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(log n),O(1),O(n log n),O(n),option1,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_085,2,Intermediate,[Intermediate Q-085] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Queue,Priority Queue,Stack,Min-Heap,option1,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_086,2,Intermediate,[Intermediate Q-086] What is the worst-case time complexity of linear search on an array of size n?,O(n),O(log n),O(1),O(n log n),option1,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_087,2,Intermediate,[Intermediate Q-087] What is the key structural benefit of a Linked List over a static array?,Dynamic size allocation and efficient insertions.,Automatic sorting during insertion.,Lower memory overhead per element.,O(1) continuous random access indexing.,option1,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_088,2,Intermediate,[Intermediate Q-088] Which principal pattern does a standard stack structure strictly observe?,Random Access,"FIFO (First-In, First-Out)","LIFO (Last-In, First-Out)",Priority-based processing,option3,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_089,2,Intermediate,[Intermediate Q-089] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(n),O(1),O(n log n),O(log n),option4,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_090,2,Intermediate,[Intermediate Q-090] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Min-Heap,Queue,Priority Queue,Stack,option2,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_091,2,Intermediate,[Intermediate Q-091] What is the worst-case time complexity of linear search on an array of size n?,O(n log n),O(log n),O(1),O(n),option4,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_092,2,Intermediate,[Intermediate Q-092] What is the key structural benefit of a Linked List over a static array?,O(1) continuous random access indexing.,Automatic sorting during insertion.,Dynamic size allocation and efficient insertions.,Lower memory overhead per element.,option3,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_093,2,Intermediate,[Intermediate Q-093] Which principal pattern does a standard stack structure strictly observe?,"LIFO (Last-In, First-Out)",Random Access,"FIFO (First-In, First-Out)",Priority-based processing,option1,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_094,2,Intermediate,[Intermediate Q-094] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(log n),O(1),O(n log n),O(n),option1,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_095,2,Intermediate,[Intermediate Q-095] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Min-Heap,Priority Queue,Stack,Queue,option4,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_096,2,Intermediate,[Intermediate Q-096] What is the worst-case time complexity of linear search on an array of size n?,O(n),O(1),O(n log n),O(log n),option1,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_097,2,Intermediate,[Intermediate Q-097] What is the key structural benefit of a Linked List over a static array?,Dynamic size allocation and efficient insertions.,Automatic sorting during insertion.,O(1) continuous random access indexing.,Lower memory overhead per element.,option1,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_098,2,Intermediate,[Intermediate Q-098] Which principal pattern does a standard stack structure strictly observe?,Priority-based processing,"FIFO (First-In, First-Out)",Random Access,"LIFO (Last-In, First-Out)",option4,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_099,2,Intermediate,[Intermediate Q-099] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(1),O(log n),O(n),O(n log n),option2,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_100,2,Intermediate,[Intermediate Q-100] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Min-Heap,Queue,Priority Queue,Stack,option2,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_101,2,Intermediate,[Intermediate Q-101] What is the worst-case time complexity of linear search on an array of size n?,O(1),O(n log n),O(n),O(log n),option3,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_102,2,Intermediate,[Intermediate Q-102] What is the key structural benefit of a Linked List over a static array?,O(1) continuous random access indexing.,Lower memory overhead per element.,Dynamic size allocation and efficient insertions.,Automatic sorting during insertion.,option3,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_103,2,Intermediate,[Intermediate Q-103] Which principal pattern does a standard stack structure strictly observe?,"LIFO (Last-In, First-Out)","FIFO (First-In, First-Out)",Priority-based processing,Random Access,option1,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_104,2,Intermediate,[Intermediate Q-104] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(1),O(n log n),O(log n),O(n),option3,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
